Player Name,Team,Role,Total Kills,Total Assists,Total Damage Dealt,Total Damage Taken,Total Amount Healed,Total Games,Avg Kills,Avg Assists,Avg Damage Dealt,Avg Damage Taken,Avg Amount Healed
"Crit","FAKER-FAMILY","Unassigned","28","61","2456038","2770946","90818","2","14.00","30.50","1228019","1385473","45409"
"ChimIcz","Omen","Unassigned","28","74","2148932","914035","12867","1","28.00","74.00","2148932","914035","12867"
"nero","INFISM","Unassigned","27","72","2159821","1306655","0","1","27.00","72.00","2159821","1306655","0"
"ReflexBoi","DYNASTY","Unassigned","27","50","2834681","1968230","172163","1","27.00","50.00","2834681","1968230","172163"
"Dragonslayer4","Mythros","Unassigned","27","128","1927618","2899624","122733","3","9.00","42.67","642539","966541","40911"
"Rixtor","FAKER-FAMILY","Unassigned","26","92","2289524","3201640","1021317","3","8.67","30.67","763175","1067213","340439"
"Fleks","SORROW","Unassigned","26","181","3028635","10890699","1040576","4","6.50","45.25","757159","2722675","260144"
"MrBlueBoi","DYNASTY","Unassigned","25","48","1325423","1034756","0","1","25.00","48.00","1325423","1034756","0"
"Nightmarz","Divided","Unassigned","25","77","2593026","2635882","151651","2","12.50","38.50","1296513","1317941","75826"
"Evasion","Orca","Unassigned","24","151","1798562","1468182","55536","2","12.00","75.50","899281","734091","27768"
"Evigie","Royal Legion","Unassigned","23","65","1946175","2123128","28358","2","11.50","32.50","973088","1061564","14179"
"Piddy","Nova","Unassigned","22","120","2365418","2654723","0","2","11.00","60.00","1182709","1327362","0"
"SmileYke","DYNASTY","Unassigned","21","60","2499426","6074610","379745","2","10.50","30.00","1249713","3037305","189873"
"Alexandra90","V3RTEX","Unassigned","21","73","2057011","10429861","358031","4","5.25","18.25","514253","2607465","89508"
"Invictxs","Mythros","Unassigned","21","100","2164317","3587040","128022","2","10.50","50.00","1082159","1793520","64011"
"KirSosichka","FAKER-FAMILY","Unassigned","21","116","3845484","3893154","482992","2","10.50","58.00","1922742","1946577","241496"
"Rudix5","DYNASTY","Unassigned","20","56","2057618","2547348","170385","2","10.00","28.00","1028809","1273674","85193"
"DeaDei","DYNASTY","Unassigned","20","44","2383861","2054924","17847","1","20.00","44.00","2383861","2054924","17847"
"Hyena","V3RTEX","Unassigned","20","57","1669256","6751369","66157","4","5.00","14.25","417314","1687842","16539"
"MitsUwU","Lunarch","Unassigned","20","415","2599151","8911609","853366","8","2.50","51.88","324894","1113951","106671"
"EnVoYeR","SOVEREIGN","Unassigned","20","277","1146473","3054314","351856","6","3.33","46.17","191079","509052","58643"
"JP","Omen","Unassigned","19","351","2160790","6328559","489694","10","1.90","35.10","216079","632856","48969"
"Carolop","FAKER-FAMILY","Unassigned","18","20","1008219","860063","16121","1","18.00","20.00","1008219","860063","16121"
"Stockfisch","INFISM","Unassigned","18","257","1416616","3695052","35017","5","3.60","51.40","283323","739010","7003"
"Agressush","INFISM","Unassigned","18","216","1294547","3224832","169844","4","4.50","54.00","323637","806208","42461"
"juri","INFISM","Unassigned","18","48","1255426","1557784","55174","1","18.00","48.00","1255426","1557784","55174"
"kazuwe","Divided","Unassigned","17","438","1535132","4850288","404657","10","1.70","43.80","153513","485029","40466"
"Lloareth","Omen","Unassigned","17","326","773914","9306067","432981","10","1.70","32.60","77391","930607","43298"
"TOMMIGUN","FAKER-FAMILY","Unassigned","16","67","1618263","5691908","243216","3","5.33","22.33","539421","1897303","81072"
"Basiuuuu","Royal Legion","Unassigned","15","83","1016144","4953332","3299708","6","2.50","13.83","169357","825555","549951"
"Lepat","SOVEREIGN","Unassigned","15","230","1221883","2959865","216261","8","1.88","28.75","152735","369983","27033"
"xVampIRx","AVENGERS","Unassigned","15","149","1765808","10110873","972175","7","2.14","21.29","252258","1444410","138882"
"Sonexx","SORROW","Unassigned","15","66","1755533","2535438","0","2","7.50","33.00","877767","1267719","0"
"Alkiva","Lunarch","Unassigned","14","915","1344839","7591072","22050138","11","1.27","83.18","122258","690097","2004558"
"Jekkt","INFISM","Unassigned","13","273","1231947","3443191","214536","7","1.86","39.00","175992","491884","30648"
"Sianek","Royal Legion","Unassigned","13","151","2054382","8071278","1055056","8","1.63","18.88","256798","1008910","131882"
"yorpie","NIGHTSHIFT","Unassigned","13","312","2265657","5081053","465083","5","2.60","62.40","453131","1016211","93017"
"Wezor","DYNASTY","Unassigned","13","14","908259","1364225","87062","1","13.00","14.00","908259","1364225","87062"
"poweredby","FAKER-FAMILY","Unassigned","12","21","744089","1627438","169674","1","12.00","21.00","744089","1627438","169674"
"Robiwizzard","DYNASTY","Unassigned","12","50","2240720","1145423","0","1","12.00","50.00","2240720","1145423","0"
"KonskeMaslo","Omen","Unassigned","12","496","1098000","2465452","5751818","9","1.33","55.11","122000","273939","639091"
"MinuGahana","Lunarch","Unassigned","12","32","443290","1196830","35817","1","12.00","32.00","443290","1196830","35817"
"Roxxaas","Divided","Unassigned","11","441","1032320","8166013","29739870","10","1.10","44.10","103232","816601","2973987"
"iTzMyRulez","Lunarch","Unassigned","11","216","874132","9249128","1002914","11","1.00","19.64","79467","840830","91174"
"Makul","Royal Legion","Unassigned","11","273","1439693","7014919","961150","8","1.38","34.13","179962","876865","120144"
"Yso","SOVEREIGN","Unassigned","11","571","524791","4011595","12580845","8","1.38","71.38","65599","501449","1572606"
"Agress","INFISM","Unassigned","11","105","923073","2359902","113795","2","5.50","52.50","461537","1179951","56898"
"IAmFabulous","INFISM","Unassigned","10","248","963730","3168225","333571","5","2.00","49.60","192746","633645","66714"
"Bloodmane","JustCrits","Unassigned","10","441","887926","1143570","88389","6","1.67","73.50","147988","190595","14732"
